user_id,username,password,first_name,last_name,date_created,email,guild_id,job_id
1,thelegend27,password1,Liam,Smith,2021-03-13,l.smith@gmail.com,1,9
2,noobmaster69,password2,Noah,Johnson,2021-03-18,n.johnson@gmail.com,2,9
3,joe_mama,password3,Oliver,Williams,2021-03-23,o.williams@gmail.com,3,9
4,steve_jobs,password4,Elijah,Brown,2021-03-28,e.brown@gmail.com,4,9
5,ben_dover,password5,William,Jones,2021-04-02,w.jones@gmail.com,5,9
6,gamer_girl,password6,James,Garcia,2021-04-07,j.garcia@gmail.com,6,9
7,i_like_egirls,password7,Benjamin,Miller,2021-04-12,b.miller@gmail.com,7,10
8,lil_savage420,password8,Lucas,Davis,2021-04-17,l.davis@gmail.com,8,10
9,goofy_goober,password9,Henry,Rodriguez,2021-04-22,h.rodriguez@gmail.com,9,10
10,demon_ninja215,password10,Alexander,Martinez,2021-04-27,a.martinez@gmail.com,10,10
